,Number,Program Title,Program Type,Program Genre,Network,First Air Year,Last Air Year,Program Description,id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,correct_name,name_ratio
10,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",946272,four star playhouse,nan,2,1952,nan,f6236,nan,nan,nan,1952-1956, the kraft television theater ,86.0
11,4489, the kraft television theater ,series, anthology," nbc, abc",1947,1955.0," dramatic and comedic productions featuring broadway veterans, well known and lesser-known actors. the series, sponsored by kraft dairy foods, was the first hourlong anthology series to be broadcast to the midwest by the coaxial cable (1949). the series ran on nbc from may 7, 1947 to october 1, 1958; and on abc from october 15, 1953 to january 6, 1955. performers include: tammy grimes, lee remick, farley granger, sylvia sidney, patricia mccormack, glenda farrell, peggy ann garner, clilf robinson, sal mineo, nancy marchand, collin wilcox, ed begley, roland winters, nancy malone, betsy palmer, shelley winters, rudy vallee, william shatner, fay wray, pat o'brien, milton berle, gloria vanderbilt, lee grant, lynn loring, e.g. marshall, dan o'herlihy, lorne greene, raymond massey, joanne woodward, audra lindley, basil rathbone, hope lange, elizabeth montgomery, james whitmore, patrick macnee, constance ford, tony franciosa, gisele mackenzie, lillian gish, jane seymour, claudia morgan, olga fabian. announcer: ed herlihy, charles stark.",1070709,guess again,nan,2,1951,nan,g25,nan,nan,nan,1951-????, the kraft television theater ,86.0
12,4498," kukla, fran and ollie ",series, children," nbc, abc",1947,1957.0," the series, set against the background of the kuklapolitan theater, presents the antics of the kuklapolitans, a group of puppets created by burr tillstrom: kukla, the bald-headed, round-nosed little man; ollie, his friend, a scatterbrained dragon; beulah witch; madam ooglepuss; colonel crockie; cecil bill; dolores dragon; and mercedes rabbit. the series aired locally in chicago (1947-1979) then on nbc from november 12, 1949 to june 13, 1954; and on abc from september 6, 1954 to august 30, 1957. an announcer opens the show: ""here comes the fun, it's time for kukla, fran and ollie. martin tossi presents burr tillstrom, creator of kukla and ollie and all the kuklapolitan players, with fran allison in kukla, fran and ollie."" hostess: fran allison. puppeteervoices: burr tillstrom. regulars: carolyn gilbert, cesar giovannini. announcer: hugh downs. ",349508,brenner,nan,2,1959,nan,b656,nan,nan,nan,1959-????," kukla, fran and ollie ",100.0
13,4498," kukla, fran and ollie ",series, children," nbc, abc",1947,1957.0," the series, set against the background of the kuklapolitan theater, presents the antics of the kuklapolitans, a group of puppets created by burr tillstrom: kukla, the bald-headed, round-nosed little man; ollie, his friend, a scatterbrained dragon; beulah witch; madam ooglepuss; colonel crockie; cecil bill; dolores dragon; and mercedes rabbit. the series aired locally in chicago (1947-1979) then on nbc from november 12, 1949 to june 13, 1954; and on abc from september 6, 1954 to august 30, 1957. an announcer opens the show: ""here comes the fun, it's time for kukla, fran and ollie. martin tossi presents burr tillstrom, creator of kukla and ollie and all the kuklapolitan players, with fran allison in kukla, fran and ollie."" hostess: fran allison. puppeteervoices: burr tillstrom. regulars: carolyn gilbert, cesar giovannini. announcer: hugh downs. ",661981,detective's wife,nan,2,1950,nan,d3231,nan,nan,nan,1950-????," kukla, fran and ollie ",86.0
14,4498," kukla, fran and ollie ",series, children," nbc, abc",1947,1957.0," the series, set against the background of the kuklapolitan theater, presents the antics of the kuklapolitans, a group of puppets created by burr tillstrom: kukla, the bald-headed, round-nosed little man; ollie, his friend, a scatterbrained dragon; beulah witch; madam ooglepuss; colonel crockie; cecil bill; dolores dragon; and mercedes rabbit. the series aired locally in chicago (1947-1979) then on nbc from november 12, 1949 to june 13, 1954; and on abc from september 6, 1954 to august 30, 1957. an announcer opens the show: ""here comes the fun, it's time for kukla, fran and ollie. martin tossi presents burr tillstrom, creator of kukla and ollie and all the kuklapolitan players, with fran allison in kukla, fran and ollie."" hostess: fran allison. puppeteervoices: burr tillstrom. regulars: carolyn gilbert, cesar giovannini. announcer: hugh downs. ",955763,freedom rings,nan,2,1953,nan,f6356,nan,nan,nan,1953-????," kukla, fran and ollie ",86.0
15,50, actor's studio ,series, anthology," abc, cbs",1948,1950.0," a weekly series of dramatizations based on the works of noted authors (for example, edgar allan poe, ernest hemingway, john steinbeck and tennessee williams). the series was presented live by the actor's studio, a non-profit organization of professional performers. stars who have appeared on the program include kim hunter, tom ewell, harry bellaver, marlon brando, john sylvester, anne jackson, eleanor lynn, warren stevens, russell collins, julie harris, ann shepherd, edith king, herbert nelson, e.g. marshall, cloris leachman and richard boone. the series ran on abc from september 26, 1948 to october 26, 1949; and on cbs from november 1, 1949 to june 23,  1950. one of the first series to be picked up by another network after being dropped by a network.recurring performers: george reeves, kim hunter, cloris leachman, steven hill, jocelyn brando, tom ewell. ",73584,actor's studio,nan,2,1948,nan,a2362,nan,nan,nan,1948-1950, actor's studio ,100.0
16,906, the bob howard show ,series, variety, cbs,1948,1950.0," an interlude series of music and songs with singer-pianist bob howard. the second television series to be hosted by a black performer (see the ethel waters show for information on the first). the series ran from july 26, 1948 to december 12,  1950. bob stevens is the producer. host: bob howard. music: bob howard.",232227,backstage with barry wood,nan,2,1949,nan,b2323,nan,nan,nan,1949-????, the bob howard show ,86.0
17,906, the bob howard show ,series, variety, cbs,1948,1950.0," an interlude series of music and songs with singer-pianist bob howard. the second television series to be hosted by a black performer (see the ethel waters show for information on the first). the series ran from july 26, 1948 to december 12,  1950. bob stevens is the producer. host: bob howard. music: bob howard.",239341,balance your budget,nan,2,1952,nan,b4526,nan,nan,nan,1952-1953, the bob howard show ,86.0
18,1053, the broadway playhouse ,series, anthology, nbc,1948,1950.0, the alternate title for the chevrolet teletheater. see this title for information. ,881029,face the music,nan,2,1949,nan,f2352,nan,nan,nan,1949-????, the broadway playhouse ,86.0
19,1530, club 7 ,series, variety, abc,1948,1951.0," an informal musical variety show, that features new talent discoveries, that ran from august 12, 1948 to september 24, 1951. host: johnny thompson, rony bavaar. music: bobby byrne. ",695079,disneyland,nan,2,1954,nan,d2545,nan,nan,nan,1954-1991, club 7 ,86.0
20,2303, the earl wrightson show ,series, variety, abc,1948,1952.0," a program of music and songs that ran from november 27, 1948 to february  21, 1952. gil fates is the producer. host: earl wrightson. vocalist: betty jane watson. music: the buddy weed trio, the norman paris trio. ",180621,appointment with adventure,nan,2,1955,nan,a1535,nan,nan,nan,1955-1956, the earl wrightson show ,100.0
21,9138, winner take all ,series, game, cbs,1948,1952.0," the object calls for players to answer questions based on sketches that are performed on the stage. the player with the most correct answers is the winner and receives merchandise prizes. the series ran from june 15, 1948 to october 3, 1950; january 12, 1951 to april 20, 1951; and february 25, 1952 to october 5, 1952. host: clayton ""bud"" couyer, bill cullen. assistant: sheila connolly. performers: betty jones watson, jerry austen, howard malone, barry gray. ",194352,arthur godfrey time,nan,2,1952,nan,a6362,nan,nan,nan,1952-????, winner take all ,86.0
22,1014, break the bank ,series, game," abc, nbc, cbs",1948,1956.0," players are quizzed in a category of their own choice. each correct response earns cash, which increases with the difficulty of the question. eight straight answers breaks the bank and its cash amount is awarded to the player. two misses in a row defeat the player and his funds are forfeited and added to the bank. the series aired on abc from october 22, 1948 to september 23, 1949; on nbc from october 5, 1949 to january 9, 1952; on cbs from june 3, 1952 to october 19, 1952; on /v5cfrom march 30, 1953 to september 18, 1953; on ^5cfrom january 31, 1954 to june 20, 1956. host: bert parks, clayton ""bud"" couyer. assistant: janice wolfe, janice gilbert. announcer: win elliott, johnny olsen. ",190323,armstrong circle theatre,nan,2,1950,nan,a6523,nan,nan,nan,1950-1963, break the bank ,86.0
23,1014, break the bank ,series, game," abc, nbc, cbs",1948,1956.0," players are quizzed in a category of their own choice. each correct response earns cash, which increases with the difficulty of the question. eight straight answers breaks the bank and its cash amount is awarded to the player. two misses in a row defeat the player and his funds are forfeited and added to the bank. the series aired on abc from october 22, 1948 to september 23, 1949; on nbc from october 5, 1949 to january 9, 1952; on cbs from june 3, 1952 to october 19, 1952; on /v5cfrom march 30, 1953 to september 18, 1953; on ^5cfrom january 31, 1954 to june 20, 1956. host: bert parks, clayton ""bud"" couyer. assistant: janice wolfe, janice gilbert. announcer: win elliott, johnny olsen. ",592420,damon runyon theater,nan,2,1955,nan,d5653,nan,nan,nan,1955-1956, break the bank ,86.0
24,1014, break the bank ,series, game," abc, nbc, cbs",1948,1956.0," players are quizzed in a category of their own choice. each correct response earns cash, which increases with the difficulty of the question. eight straight answers breaks the bank and its cash amount is awarded to the player. two misses in a row defeat the player and his funds are forfeited and added to the bank. the series aired on abc from october 22, 1948 to september 23, 1949; on nbc from october 5, 1949 to january 9, 1952; on cbs from june 3, 1952 to october 19, 1952; on /v5cfrom march 30, 1953 to september 18, 1953; on ^5cfrom january 31, 1954 to june 20, 1956. host: bert parks, clayton ""bud"" couyer. assistant: janice wolfe, janice gilbert. announcer: win elliott, johnny olsen. ",938864,for love or money,nan,2,1958,nan,f6416,nan,nan,nan,1958-1959, break the bank ,86.0
25,6402, the philco television playhouse ,series, anthology, nbc,1948,1956.0," a series of quality dramas featuring both well-known and lesserknown actors and actresses. the series aired under itsown title (and under sponsorship of the equity-philco company) from october 3, 1948 to october 7, 1951. on october 21, 1951, it began alternating with the goodyear theater (until august 21, 1955). on september 4, 1955 both philco and goodyear theaters began alternating with the alcoa hour (which premiered on october 16, 1955). by february 12, 1956, the philco television playhouse had its last showing, being displaced by both alcoa and goodyear. host: bert lytell (1948-49). performers include: jane seymour, joyce van patten, patten, ralph bellamy, walter abel, bing crosby, cameron mitchell, peggy wood, lillian gish, dorothy gish, leo g. carroll, patricia kirkland, william redfield, jose ferrer, phyllis kirk, frances reid, patricia breslin, janet blake, mary mccord, anthony quinn, jean carson, claire luce, e.g. marshall, john newland, alfred ryder, eli wallach, leora dana, lili palmer, cara williams, burgess meredith, margaret hayes, leslie nielsen, barbara joyce, john ireland, cloris leachman, walter matthau, audra lindley, rod steiger, nancy marchand, constance ford, john forsythe, eva marie saint. ",460783,choreotones,nan,2,1945,nan,c6352,nan,nan,nan,1945-1946, the philco television playhouse ,86.0
26,6402, the philco television playhouse ,series, anthology, nbc,1948,1956.0," a series of quality dramas featuring both well-known and lesserknown actors and actresses. the series aired under itsown title (and under sponsorship of the equity-philco company) from october 3, 1948 to october 7, 1951. on october 21, 1951, it began alternating with the goodyear theater (until august 21, 1955). on september 4, 1955 both philco and goodyear theaters began alternating with the alcoa hour (which premiered on october 16, 1955). by february 12, 1956, the philco television playhouse had its last showing, being displaced by both alcoa and goodyear. host: bert lytell (1948-49). performers include: jane seymour, joyce van patten, patten, ralph bellamy, walter abel, bing crosby, cameron mitchell, peggy wood, lillian gish, dorothy gish, leo g. carroll, patricia kirkland, william redfield, jose ferrer, phyllis kirk, frances reid, patricia breslin, janet blake, mary mccord, anthony quinn, jean carson, claire luce, e.g. marshall, john newland, alfred ryder, eli wallach, leora dana, lili palmer, cara williams, burgess meredith, margaret hayes, leslie nielsen, barbara joyce, john ireland, cloris leachman, walter matthau, audra lindley, rod steiger, nancy marchand, constance ford, john forsythe, eva marie saint. ",940334,ford star jubilee,nan,2,1955,nan,f6323,nan,nan,nan,1955-1956, the philco television playhouse ,86.0
27,6402, the philco television playhouse ,series, anthology, nbc,1948,1956.0," a series of quality dramas featuring both well-known and lesserknown actors and actresses. the series aired under itsown title (and under sponsorship of the equity-philco company) from october 3, 1948 to october 7, 1951. on october 21, 1951, it began alternating with the goodyear theater (until august 21, 1955). on september 4, 1955 both philco and goodyear theaters began alternating with the alcoa hour (which premiered on october 16, 1955). by february 12, 1956, the philco television playhouse had its last showing, being displaced by both alcoa and goodyear. host: bert lytell (1948-49). performers include: jane seymour, joyce van patten, patten, ralph bellamy, walter abel, bing crosby, cameron mitchell, peggy wood, lillian gish, dorothy gish, leo g. carroll, patricia kirkland, william redfield, jose ferrer, phyllis kirk, frances reid, patricia breslin, janet blake, mary mccord, anthony quinn, jean carson, claire luce, e.g. marshall, john newland, alfred ryder, eli wallach, leora dana, lili palmer, cara williams, burgess meredith, margaret hayes, leslie nielsen, barbara joyce, john ireland, cloris leachman, walter matthau, audra lindley, rod steiger, nancy marchand, constance ford, john forsythe, eva marie saint. ",1101886,harbormaster,nan,2,1957,nan,h6165,nan,nan,nan,1957-1958, the philco television playhouse ,86.0
28,467, arthur godfrey's talent scouts ,series, variety, cbs,1948,1958.0," the program features performances by undiscovered talent. the series ran from december 6, 1948 to july 21, 1958. irving mansfield and jack carney are the producers. host: arthur godfrey. substitute host: joe e. brown, steve allen, guy mitchell. vocalists: the holidays. announcer: tony marvin. orchestra: archie bleyer. ",848449,escape,nan,2,1950,nan,e21,nan,nan,nan,1950-????, arthur godfrey's talent scouts ,86.0
29,467, arthur godfrey's talent scouts ,series, variety, cbs,1948,1958.0," the program features performances by undiscovered talent. the series ran from december 6, 1948 to july 21, 1958. irving mansfield and jack carney are the producers. host: arthur godfrey. substitute host: joe e. brown, steve allen, guy mitchell. vocalists: the holidays. announcer: tony marvin. orchestra: archie bleyer. ",881113,face the nation,nan,2,1954,nan,f2353,nan,nan,nan,1954-????, arthur godfrey's talent scouts ,86.0
30,467, arthur godfrey's talent scouts ,series, variety, cbs,1948,1958.0," the program features performances by undiscovered talent. the series ran from december 6, 1948 to july 21, 1958. irving mansfield and jack carney are the producers. host: arthur godfrey. substitute host: joe e. brown, steve allen, guy mitchell. vocalists: the holidays. announcer: tony marvin. orchestra: archie bleyer. ",1072734,gunsmoke,nan,2,1955,nan,g5252,nan,nan,nan,1955-1975, arthur godfrey's talent scouts ,86.0
31,1481, cities service band of america ,series, variety, nbc,1949,1950.0," the series, a simulcast of the radio program, features the forty-eight piece band of america and performances by guest soloists. the series aired from october 17, 1949 to january 9, 1950. host: ford bond. announcer: ford bond. music director: paul lavalle. ",393878,campus corner,nan,2,1949,nan,c5126,nan,nan,nan,1949-????, cities service band of america ,86.0
32,2890, front row center ,series, variety, dumont,1949,1950.0," a musical revue that features guests from the broadway theater with comedian frank fontaine as the host. host: frank fontaine. regulars: phil leeds, hal lohman, monica moore, joan fields, marian bruce, cass franklin, bibi osterwald, danny shore. ",728260,down you go,nan,2,1951,nan,d52,nan,nan,nan,1951-1956, front row center ,100.0
33,2891, front row center ,series, anthology, cbs,1955,1956.0," a live series of original dramas and adaptations of broadway plays and works by noted authors. the series, which produced 27 episodes, ran from june 1, 1955 to september 21,  1955; and from january 8, 1956 to april 21, 1956.host: fletcher markle. performers include: pat o'brien, mary beth hughes, everett sloane, mercedes mccambridge, lisa kirk, james daly, katherine bard, angela lansbury, kevin mccarthy, elizabeth patterson, dewey martin, peggy webber, richard jaeckel, beverly garland, howard duff, milburn stone, margaret o'brien, john mclntire, glenda farrell, ronnie burns, sally forrest, rita gam, john carradine, mona freeman, lloyd bridges, james arness, diana lynn, louise lewis, eddie albert. ",728260,down you go,nan,2,1951,nan,d52,nan,nan,nan,1951-1956, front row center ,100.0
34,8800, versatile varieties ,series, variety," nbc, abc, cbs",1949,1951.0," a live series set in a nightclub that features performances by guest stars. in a later format (1951), it became a children's variety show that featured songs, stories and performances by child stars. the program, sponsored bybonny maid products, ran on nbc from august  26, 1949 to january 19, 1951; on cbs from january  28, 1951 to july 22, 1951; and on abc from september 21, 1951 to december 14, 1951. host: george givot (1949), harold barry (19491950), bob russell (1950-1951). hostess: lady iris mountbatten (1951). regulars: anne francis, janis paige, eva marie saint, edie adams, the delmars. orchestra: jerry jerome, bernie sands, mark towers. ",205039,assignment foreign legion,nan,2,1956,nan,a2531,nan,nan,nan,1956-????, versatile varieties ,100.0
35,4218, johnny olsen 's rumpus room ,series, variety, dumont,1949,1952.0," a program of music, songs and comedy that also features a game segment wherein selected members of the studio audience compete in stunt contests for prizes. host: johnny olsen. regulars: kay armen, gene kirby, hal mclntyre. orchestra: buddy weed, hank d'amico. ",558866,crime photographer,nan,2,1951,nan,c6513,nan,nan,nan,1951-1952, johnny olsen 's rumpus room ,86.0
36,6294, paul whiteman's saturday night revue ,series, variety, abc,1949,1952.0," a program of music and songs with bandleader paul whiteman as the host. the series ran from november 6, 1949 to march 30, 1952. tony stanford and ward byron are the producers. host: paul whiteman. regulars: lina romay, earl wrightson, eric viola, joe young, duffy orel, maureen cannon. orchestra: paul whiteman. choreography: frank westbrook. ",503405,command post,nan,2,1950,nan,c5312,nan,nan,nan,1950-????, paul whiteman's saturday night revue ,86.0
37,5125," martin kane, private eye ",series, crime drama, nbc,1949,1954.0," martin kane is a rugged private detective working out of new york city. he has an office in the wood building in manhattan. the sign on his office door reads martin kane-private investigator. kane charges fees that he feels are appropriate to the case at hand _êî as much as $500. he uses determination and force of character to achieve results. he refers to women as ""doll face"" and ""sweetheart"" and his hangout is mcmann's tobacco shop. kane smokes a pipe and uses old briar pipe tobacco at 15 cents a pouch. the shop is a vital part of the live series, as the sponsor's products are prominently displayed. when kane discusses a case with shop owner tucker ""hap"" mcmann, customers appear to purchase a product. hap excuses himself and pitches the sponsor's product while kane, or someone else involved with the case, waits patiently on the side. with the sale concluded, the show picks up from where the customer entered. when kane places tobacco in his pipe, the camera zooms in for a closeup of the product name. hap was replaced by don morrow, who played himself in last season episodes, as the owner of the tobacco shop. also known as assignment danger, the title used when the series was first re-syndicated after its initial run. see also the new adventures of martin kane. cast: william gargan (martin kane; 1949-51), lloyd nolan (martin kane; 1951-52), lee tracy (martin kane; 1952-54), frank m. thomas (police captain burke), nicholas saunders (sergeant ross), walter kinsella (happy mcmann), don morrow (don), horace mcmahon (captain willis), king calder (lt. grey redford), fred hillebrand (lt. bender). announcer: fred uttal. ",421024,cbs cartoon theatre,nan,2,1956,nan,c1263,nan,nan,nan,1956-????," martin kane, private eye ",100.0
38,5029, man against crime ,series, crime drama," cbs, dumont, nbc",1949,1956.0," mike barnett is a private detective based in new york city. mike, one of the earliest of the tv detectives, is based on the movie detectives who preceded him (like philip marlowe and sam spade). he is hardboiled and two fisted. he takes the cases of people desperately in need of help but to achieve his means, he uses every dirty trick in the book to acquire them _êî sometimes going above the limits of the law. stories follow mike as he solves crimes (and sets the pace for his fellow tv detectives that were to follow _êî from mike hammer to richard diamond). also known as follow that man. it aired on cbs from october 7, 1949 to october 2, 1953; on dumont from october 11, 1953 to april 4, 1954; and on nbc from july 1, 1956 to august 26, 1956.cast: ralph bellamy [mike barnett), frank lovejoy (frank barnett), robert preston [pat barnett; mike's brother). art fleming [ralph belamy's standin). ",365519,buick-electra playhouse,nan,2,1959,nan,b2423,nan,nan,nan,1959-1960, man against crime ,100.0
39,5030, man against crime ,pilot, crime drama, nbc,1958,nan," the story of a young lawyer (dan garrett) and his battle against crime through the legal system. in the pilot episode, broadcast as a segment of decision, dan defends a youth accused of killing a punk during a gang war. cast: darren mcgavin {dan garrett). guest cast: david opatoshu {sam mitschner) , stanley peck {robbie mitschner), joe sullivan {voorhes), terry greene {spotsy). ",365519,buick-electra playhouse,nan,2,1959,nan,b2423,nan,nan,nan,1959-1960, man against crime ,100.0
40,1087, buck rogers in the 25th century ,series, science fiction, abc,1950,1951.0," in pittsburgh in 1919, buck rogers, a young u.s. air corps veteran, begins surveying the lower levels of an abandoned mine. when the crumbling timbers give way, the roof from behind him caves in. unable to escape, he is rendered unconscious by a peculiar gas that places him in a state of suspended animation. as the earth shifts, fresh air enters and awakens buck. emerging from the cave he finds himself in a vast forest. meeting lieutenant wilma deering of the space general's staff, he discovers that it is the year 2430 and the place is no longer pittsburgh, but niagara, america's capital. buck joins with wilma and stories depict his attempts to aid wilma and the scientific genius. dr. huer, in their battle against evil. based on the comic strip and radio series. cast: kem dibbs (buck rogers; 1950), robert pastene {buck rogers; 1951), lou prentis {lt. wilma deering), harry southern {dr. huer), harry kingston {black barney wade), sanford bickard {also). ",257015,battle of the ages,nan,2,1952,nan,b3413,nan,nan,nan,1952-????, buck rogers in the 25th century ,86.0
41,1302, cavalcade of bands ,series, variety, dumont,1950,1951.0," the program features the music, songs and performers of the big band era of the 1930s and 1940s. hosts: fred robbins, warren hull, ted steele, buddy rogers. regulars: marsha van dyke, the mellolarks, the clark brothers. ",668250,dick and the duchess,nan,2,1957,nan,d2532,nan,nan,nan,1957-1958, cavalcade of bands ,100.0
42,5678, mystery is my business ,series, crime drama, dumont,1950,1951.0, the syndicated tide for the adventures ofeuery queen. see this title for information. ,391310,camera three,nan,2,1955,nan,c5636,nan,nan,nan,1955-1979, mystery is my business ,86.0
