Number,Program Title,Program Type,Program Genre,Network,First Air Month,First Air Day,First Air Year,Last Air Month,Last Air Day,Last Air Year,Program Description
2797, Ford Theater Hour. ,Series, Anthology, NBC,,,1948,,,1951," A series of dramatic presentations sponsored by the Ford Motor Company. The series, which produced 52 episodes, ran from October 17, 1948 to June 29, 1951. Performers Include: Eddie Albert, Janet Blair, Cloris Leachman, Zero Mostel, Edward Everett Horton, Meg Mundy, Lillian Gish, Freddie Bartholomew, Mary Boland, Burgess Meredith, June Lockhart, Eileen Heckart, Kim Hunter, HenryHull, Lee Tracy, Barbara Ames, Betsy Blair, Anthony Quinn, Anna Lee, Richard Greene, John Forsythe, Barry Fitzgerald, Leslie Nielsen, Ilona Massey, Jane Seymour, Ernest Truex, Patricia Kirkland, Jack Carson, Jean Carson, Carol Gooder, Dane Clark, Geraldine Brooks. "
4912, Lticky Pup. ,Series, Children, CBS,,,1948,,,1951," A puppet series about an evil magician named Foodini and his fijmbling assistant, Pinhead, and their misguided efforts to steal the five-million dollar inheritance left to a dog named Lucky Pup. Characters are the puppet creations of Hope and Morey Bunin. Hostess: Doris Brown. Voices-Puppeteers: Hope Bunin, Morey Bunin."
6014, Okay Mother. ,Series, Testimonial, DuMont,,,1948,,,1951," The program salutes mothers of celebrities or mothers who have become famous on their own. The series ran from November 11, 1948 to July 6, 1951. Host: Dennis James. "
8776, Vanity Fair. ,Series, Women, CBS,,,1948,,,1951," A magazine-style program of interviews, beauty tips and advice, and other topics of interest to housewives. Hostess: Robin Chandler, Dorothy Doan. Regulars: The Lily Dache Models. Announcer: Tony Marvin. "
1337, Celebrity Time. ,Series, Variety," CBS, ABC",,,1948,,,1952," A potpourri of music, chatter, interviews, and game contests. The series is also known as The Eyes Have It, Stop, Look and Listen, and Riddle Me This. The series aired on CBS from November 20, 1948 to January 27, 1949; on ABC from April 3, 1949 to March 26, 1950; on CBS from April 2, 1950 to June  27, 1950; and on CBS from October 1, 1950 to September 21, 1952. Host: Conrad Nagel {Celebrity Time), Ralph McNair (The Eyes LLave It), Paul Galhco {Stop, Look and Listen). Regulars: Ilka Chase, John Daly, Kyle MacDonnell, Kitty Carlisle, Jane Wilson, Herman Hickman, Mary McCarthy. "
2303, The Earl Wrightson Show. ,Series, Variety, ABC,,,1948,,,1952," A program of music and songs that ran from November 27, 1948 to February  21, 1952. Gil Fates is the producer. Host: Earl Wrightson. Vocalist: Betty Jane Watson. Music: The Buddy Weed Trio, The Norman Paris Trio. "
9138, Winner Take All. ,Series, Game, CBS,,,1948,,,1952," The object calls for players to answer questions based on sketches that are performed on the stage. The player with the most correct answers is the winner and receives merchandise prizes. The series ran from June 15, 1948 to October 3, 1950; January 12, 1951 to April 20, 1951; and February 25, 1952 to October 5, 1952. Host: Clayton ""Bud"" CoUyer, Bill Cullen. Assistant: Sheila Connolly. Performers: Betty Jones Watson, Jerry Austen, Howard Malone, Barry Gray. "
3643, Hollywood Screen Test. ,Series, Anthology, ABC,,,1948,,,1953," A series of dramatic productions in which young hopefuls appear with established stars in the hope of furthering their careers. Host: Bert Lytell, Neil Hamilton, Hurd Hatfield, Betty Furness. Assistant: Martha Wayne, Robert Quarry. Announcer: Ted Campbell. "
8183, Texaco Star Theater. ,Series, Variety, NBC,,,1948,,,1953," A program of music and outlandish slapstick comedy with Milton Berle, the comedian whose Tuesday night show drastically helped to boost the sale of television sets at a time when the new medium was considered a vast wasteland (and a set was quite expensive); he earned the nickname ""Mr. Television."" The series, sponsored by Texaco Gasoline, ran from September 21, 1948 to June 9,  1953. Host: Milton Berle. Regulars: Sid Stone, Arnold Stang, Dolores Gray, Bobby Clark, Ruth Gilbert, Willie Field, The DunhiUs, The Merry Texaco Repairmen, The Balicana Ivanko Troupe. Orchestra: Allen Roth. Commercial Spokesman: Jimmy Nelson. "
8997, What's It Worth? ,Series, Human Interest," CBS, DuMont",,,1948,,,1953," Owners of paintings and objects d'art are the subjects of each program. Each person appears with and tells how he acquired his treasure. A panel of experts then appraises the object and quotes its actual value. As the experts give their opinions, cameras reveal the emotions of the owner. The series aired on CBS from May 21, 1948 to March 28, 1949; and on DuMont from October 21, 1952 to October 11, 1953. Host: Gil Fates, Nelson Case, Bill Wendell. Appraiser: Sigmund Rothschild."
7465, The Singing Lady. ,Series, Children, ABC,,,1948,,,1954," Music, songs and fairy tales with Ireene Wicker, ""The Singing Lady."" The series, based on the radio program of the same title, ran from August 12, 1948 to August 6, 1950. It was revised as Ireene Wicker Story Time from September  27, 1953 to March 21, 1954. Hostess: Ireene Wicker. Regulars: The Suzari Marionettes. "
9057, Who Said That? ,Series, Game," NBC, ABC",,,1948,,,1955," The object calls for a celebrity panel to identify news stories from which quotations are taken. The series aired on NBC from December 9, 1948 to February 18, 1951 (and April 5, 1952 to April  26, 1952; and April 13, 1953 to July 5, 1954) and on ABC from February 2, 1955 to July 26, 1955. Host: Robert Trout, Walter Kiernan, John Daly. Panelists: June Lockhart, John Cameron Swayze, Morey Amsterdam, H.V. Kaltenborn, Bob Considine, John Mason Brown, Bill Henry. Announcer: Peter Roberts. "
1014, Break the Bank. ,Series, Game," ABC, NBC, CBS",,,1948,,,1956," Players are quizzed in a category of their own choice. Each correct response earns cash, which increases with the difficulty of the question. Eight straight answers breaks the bank and its cash amount is awarded to the player. Two misses in a row defeat the player and his funds are forfeited and added to the bank. The series aired on ABC from October 22, 1948 to September 23, 1949; on NBC from October 5, 1949 to January 9, 1952; on CBS from June 3, 1952 to October 19, 1952; on /V5Cfrom March 30, 1953 to September 18, 1953; on ^5Cfrom January 31, 1954 to June 20, 1956. Host: Bert Parks, Clayton ""Bud"" CoUyer. Assistant: Janice Wolfe, Janice Gilbert. Announcer: Win Elliott, Johnny Olsen. "
6402, The Philco Television Playhouse. ,Series, Anthology, NBC,,,1948,,,1956," A series of quality dramas featuring both well-known and lesserknown actors and actresses. The series aired under itsown title (and under sponsorship of the Equity-Philco Company) from October 3, 1948 to October 7, 1951. On October 21, 1951, it began alternating with The Goodyear Theater (until August 21, 1955). On September 4, 1955 both Philco and Goodyear theaters began alternating with The Alcoa Hour (which premiered on October 16, 1955). By February 12, 1956, The Philco Television Playhouse had its last showing, being displaced by both Alcoa and Goodyear. Host: Bert Lytell (1948-49). Performers Include: Jane Seymour, Joyce Van Patten, Patten, Ralph Bellamy, Walter Abel, Bing Crosby, Cameron Mitchell, Peggy Wood, Lillian Gish, Dorothy Gish, Leo G. Carroll, Patricia Kirkland, William Redfield, Jose Ferrer, Phyllis Kirk, Frances Reid, Patricia Breslin, Janet Blake, Mary McCord, Anthony Quinn, Jean Carson, Claire Luce, E.G. Marshall, John Newland, Alfred Ryder, Eli Wallach, Leora Dana, Lili Palmer, Cara Williams, Burgess Meredith, Margaret Hayes, Leslie Nielsen, Barbara Joyce, John Ireland, Cloris Leachman, Walter Matthau, Audra Lindley, Rod Steiger, Nancy Marchand, Constance Ford, John Forsythe, Eva Marie Saint. "
467, Arthur Godfrey's Talent Scouts. ,Series, Variety, CBS,,,1948,,,1958," The program features performances by undiscovered talent. The series ran from December 6, 1948 to July 21, 1958. Irving Mansfield and Jack Carney are the producers. Host: Arthur Godfrey. Substitute Host: Joe E. Brown, Steve Allen, Guy Mitchell. Vocalists: The Holidays. Announcer: Tony Marvin. Orchestra: Archie Bleyer. "
8123, Ted Mack and the Original Amateur Hour. ,Series, Variety," DuMont, NBC, ABC, CBS",,,1948,,,1970," Performances by undiscovered talent. Adapted from the radio series Major Bowes and His Original Amateur Hour. The series ran on DuMont from January 18, 1948 to September 25,  1949; NBC from October 4, 1949 to September 11,  1954; ^5Cfrom October 30, 1955 to June 23, 1957; CBS from May 1, 1959 to October 9, 1959; ABC from March 7, 1960 to September 26, 1960; and on CS5from October 2, 1960 to September 27, 1970. Host: Ted Mack. Announcer: Dennis James, Roy Greece. Orchestra: Lloyd Marx. "
2322, The Ed Sullivan Show. ,Series, Variety, CBS,,,1948,,,1971," A weekly series that features performances by the top names in entertainment. The program is probably best known for introducing audiences to Elvis Presley and The Beatles as well as international stars, performers from the Broadway stage and circus-like variety acts. The series ran as Toast of the Town from June 10, 1948 to September 18, 1955; and as The Ed Sullivan Show from September 25, 1955 to September 6, 1971.A Typical program opening (Announcer): ""Good evening ladies and gentlemen, tonight, from New York, The Ed Sullivan Show, brought to you by Nabisco, makers of Shredded Wheat.... Premium Sal tine Crackers.... Oreo Creme Sandwich Cookies and so many other good things to eat. And by Pall Mall Gold One Hundreds _Êî extra long at both ends, so it filters farther for a milder smoke, puff after puff, milder than ever. And now, live from New York, Ed Sullivan...."" Host: Ed Sullivan. Commercial Spokeswoman: Julia Meade. Regularly Appearing: Jim Henson's Muppets, The Toastettes Chorus Line, The Hugh Lambert Dancers. Announcer: Ralph Paul. "
8408, Toast of the Town. ,Series, Variety, CBS,,,1948,,,1971, The original title for The Ed Sullivan Show. See this title for information. 
1204, Candid Camera. ,Series, Comedy," ABC, CBS, NBC, Syn. HBO, PAX",,,1948,,,2003," Ordinary people suddenly confronted with prearranged, ludicrous situations are filmed by hidden cameras and caught in the act of being themselves. The series, created by Allen Funt, is adapted from his 1947 radio series Candid Microphone. There was also an adult version of the series, called Candid Candid Camera that ran on cable (HBO) and featured situations that often involved topless girls. The series broadcast dates are as follows: ABC,  1948; NBC, 1949; CBS, 1949-1950; ABC, 1951-1952; NBC, 1953; CBS, 1959-1960 (as a segment of The Garry Moore Show); CBS, 1960-1967; Syndicated,  19741980; HBO, 1984-1985 (as Candid Candid Camera); CBS, 1990; Syndicated, 1991-1992 (as The New Candid Camera); CBS, 1997-2000; PAX, 20012003. Cast: Allen Funt {Host, 1948-1990), Dom DeLuise {Host, 1991-1992), Peter Funt {Host, 1990;  1997-2003), Arthur Godfrey {Co-Host, 1960-1961), Durward Kirby {Co-Host. 1961-1966), Bess Myerson {CoHost, 1967-1974), John Bartholomew Tucker {Co-Host, 1974-1975), Phyllis George {Co-Host,  19751976), Jo Ann Pflug {Co-Host, 1976-1977), Betsy Palmer (Co-Host, 1977), Loni Anderson {CoHost, 1981), Valerie Harper (Co-Host, 1981), Stephanie Zimbalist (Co-Host, 1983), Eva La Rue (Co-Host,  1991-1992), Suzanne Somers {Co-Host, 1997-2000). Regulars: Jerry Lester, Fannie Flagg, Marilyn Van DeBur, Dorothy Collins, Joey Faye, Betsy Palmer, Al Kelly, Marge Green, Tom O'Malley, Thelma Pellmige. Announcer: Allen Funt, Ken Roberts, Durward Kirby, Frank Simms, Peter Funt. "
42, Action Autographs. ,Series, Variety, ABC,,,1949,,,1950," The program, which spotlights the homemade films of well-known celebrities, also features in-studio interviews and demonstrations on how to use motion picture equipment (home 16mm cameras and projectors), which are supplied by the sponsor. Bell and Howell. Host: Jack Brand, Ed Prentiss. "
340, And Everything Nice. ,Series, Women, DuMont,,,1949,,,1950," Beauty tips, fashion advice and health tips geared to the female members of the viewing audience. Hostess: Maxine Barat. "
503, Auction Aire. ,Series, Game, ABC,,,1949,,,1950," The format permits both the studio and home audience to bid for expensive merchandise items. Labels from the sponsor's products (Libby's Foods)are used as ""money"" and the person who bids the highest (home viewers bid via telephone) receives that particular item. A rather complex situation that was well handled considering the series is a pioneering game show _Êî and broadcast live (from September 30, 1949 to June 23, 1950). Host/ Auctioneer: John Gregson. Assistant: Charlotte ""Rebel"" Randall. Announcer: Glenn Riggs. "
682, Believe It Or Not. ,Series, Anthology, NBC,,,1949,,,1950," Dramatizations based on unusual but actual incidents compiled by Robert Ripley for his newspaper column, ""Believe It Or Not."" On January 4, 1950 the program switched to a format of mystery and horror yarns said to be based on authentic records. The series ran from March 1, 1949 to September 28, 1950. Host: Robert Ripley {Original Format). Host: Robert St. John {Revised Format) . "
850, The Black Robe. ,Series, Anthology, NBC,,,1949,,,1950," Dramatizations based on actual police night court cases. The program uses ordinary people as it mirrors the struggles of life. Cast: Frankie Thomas, Sr. {Judge), John Green {Court Clerk). "
895, Blues by Bargy. ,Series, Variety, CBS,,,1949,,,1950," A musical interlude series, that ran from January 24, 1949 to July 6, 1950, featuring the music and songs of singer-pianist Jean Bargy. Hostess: Jean Bargy. "
1432, Chicagoland Mystery Players. ,Series, Crime Drama, DuMont,,,1949,,,1950," Jeffrey Hall is a criminologist with the Chicago Police Department. He is called upon to solve cases that go beyond the expertise of the detectives assigned to the case; usually baffling and bizarre murders that have stumped authorities. Stories, which use a cast of regulars (local Chicago actors) to portray the supporting characters in each episode (hence the title) follow Jeffrey and his assistant. Sergeant Holland as they attempt to solve crimes. The series, originally broadcast locally in Chicago (1947-1949) ran on DuMont from September 18, 1949 to July 30, 1950. Cast: Gordon Urquhart {Jeffrey Hall), Bob Smith {Sergeant Holland). Regulars: Valerie McElory, Ervin Charon, Ilka Diehl, Sidney Breese, Ros Twokey. "
1481, Cities Service Band of America. ,Series, Variety, NBC,,,1949,,,1950," The series, a simulcast of the radio program, features the forty-eight piece Band of America and performances by guest soloists. The series aired from October 17, 1949 to January 9, 1950. Host: Ford Bond. Announcer: Ford Bond. Music Director: Paul Lavalle. "
1702, A Couple of Joes. ,Series, Variety, ABC,,,1949,,,1950," A series of music, songs and comedy sketches hosted by two men named Joe. The series ran from August 5, 1949 to July 12, 1950. Richard Gordon and Alan Kent are the producers. Hosts: Joe Rosenfeld, Joe Bushkin. Regulars: Joan Barton, Beryl Richard, Allyn Edwards, Pat Harrington, Jr., Warren Hull, Morgan the Wonder Dog. Announcer: Tom Shirley. Music: Mike Reilly, Milton DeLugg. "
2074, Dinner Date with Vincent Lopez. ,Series, Variety, DuMont,,,1949,,,1950," An interlude series of music and songs with orchestra leader Vincent Lopez as the host. The series, broadcast from the Hotel Taft in New York City, ran from March 7, 1949 to July 22, 1950. Host: Vincent Lopez. Regulars: Ann Warren, Lee Russell. Orchestra: Vincent Lopez. "
2122, Doctor Fix-Um. ,Series, Advice, ABC,,,1949,,,1950," Arthur Youngquist hosts a weekly program of household tips and advice that aired from May 3, 1949 to August 6, 1950. "
2315, Easy Aces. ,Series, Comedy, DuMont,,,1949,,,1950," Events in the lives of the Aces: Jane, a scatterbrained wife, and Goodman, her husband, the recipient of her unpredictable antics. Jane doesn't mean to complicate Goodman's life. She just has an uncanny knack for complicating every situation she encounters. The series, based on the long-running radio program of the same title, aired from December 14, 1949 to June 7, 1950. Cast: Goodman Ace {Goodman Ace), Jane Ace {Jane Ace), Betty Garde {Dorothy; Jane's friend). Announcer: Ken Roberts. "
2323, The Ed Wynn Show. ,Series, Variety, CBS,,,1949,,,1950," A weekly program of music, songs and comedy skits based on Ed Wynn's radio program of the same title. The series ran from October  6, 1949 to July 4, 1950. Harlan Thompson is the producer. Host: Ed Wynn. Regulars: Ben Wrigley, Edith Piaf, The Hannaford Family, The Merriel Dancers. Announcer: Bob LeMond. Orchestra: Lud Gluskin. "
2331, The Eddie Condon Show. ,Series, Variety, NBC,,,1949,,,1950," The program, which ran from January 1, 1949 to June 24, 1950, capitalizes on the audience thirst for music and spotlights performances by jazz musicians. Host: Eddie Condon, Carl Reiner. Regulars: Billy Butterfield, Joe Bushkin, Sidney Beckett, Peewee Russell. Orchestra: Eddie Condon. "
2664, The 54th Street Revue. ,Series, Variety, CBS,,,1949,,,1950," A music and comedy revue, featuring new talent discoveries, from a studio on 54th Street in Manhattan (New York). The series ran from May 5, 1949 to March 25, 1950. Host: Al Bernie, Billy Vine, Jack Sterling, Joey Faye. Regulars: Carl Reiner, Patricia Bright, Cliff Edwards, Marilyn Day, Russell Arms, Bambi Linn, Annabel Lyons, Joe Silver. Orchestra: Albert Selden, Harry Sosnik, Bill Scudder."
