id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years
100566,Guest for Breakfast,,7,1958,,G2316,100501,3,21,
100567,Guilty Witness,,7,1955,,G4352,100501,1,11,
100568,Heart of Gold,,7,1957,,H6312,100501,3,4,
100569,Help Wanted,,7,1956,,H4153,100501,1,27,
100572,Human Interest Story,,7,1959,,H5362,100501,4,32,
100574,I Killed the Count: Part 1,,7,1957,,K4325,100501,2,25,
100575,I Killed the Count: Part 2,,7,1957,,K4325,100501,2,26,
100576,I Killed the Count: Part 3,,7,1957,,K4325,100501,2,27,
100578,I'll Take Care of You,,7,1959,,I4326,100501,4,23,
100581,Into Thin Air,,7,1955,,I5356,100501,1,5,
100582,Invitation to an Accident,,7,1959,,I5135,100501,4,36,
100583,John Brown's Body,,7,1956,,J5165,100501,2,14,
100584,Jonathan,,7,1956,,J535,100501,2,10,
100586,Kill with Kindness,,7,1956,,K4325,100501,2,4,
100587,Lamb to the Slaughter,,7,1958,,L5132,100501,3,28,
100588,Last Request,,7,1957,,L2362,100501,3,8,
100590,"Listen, Listen.....!",,7,1958,,L2354,100501,3,32,
100591,Little White Frock,,7,1958,,L3431,100501,3,39,
100593,Mail Order Prophet,,7,1957,,M4636,100501,3,2,
100595,Malice Domestic,,7,1957,,M4235,100501,2,20,
100597,Man with a Problem,,7,1958,,M5316,100501,4,7,
100599,"Martha Mason, Movie Star",,7,1957,,M6352,100501,2,34,
100600,Mink,,7,1956,,M52,100501,1,36,
100601,Miss Bracegirdle Does Her Duty,,7,1958,,M2162,100501,3,18,
100602,Miss Paisley's Cat,,7,1957,,M2124,100501,3,12,
100603,Momentum,,7,1956,,M535,100501,1,39,
100606,Mr. Blanchard's Secret,,7,1956,,M6145,100501,2,13,
100608,Mrs. Herman and Mrs. Fenimore,,7,1958,,M6265,100501,4,12,
100609,Murder Me Twice,,7,1958,,M6365,100501,4,9,
100611,"My Brother, Richard",,7,1957,,M1636,100501,2,17,
100612,Never Again,,7,1956,,N1625,100501,1,30,
100613,Night of the Execution,,7,1957,,N2313,100501,3,13,
100614,Nightmare in 4-D,,7,1957,,N2356,100501,2,16,
100615,No Pain,,7,1959,,N15,100501,5,5,
100616,None Are So Blind,,7,1956,,N5621,100501,2,5,
100618,Number Twenty-Two,,7,1957,,N5163,100501,2,21,
100620,On the Nose,,7,1958,,O5352,100501,3,20,
100623,One More Mile to Go,,7,1957,,O5654,100501,2,28,
100621,One for the Road,,7,1957,,O5163,100501,2,23,
100624,Our Cook's a Treasure,,7,1955,,O6236,100501,1,8,
100625,Out There - Darkness,,7,1959,,O3636,100501,4,16,
100629,Place of Shadows,,7,1956,,P4212,100501,1,22,
100630,Poison,,7,1958,,P25,100501,4,1,
100631,Portrait of Jocelyn,,7,1956,,P6363,100501,1,28,
100632,Post Mortem,,7,1958,,P2356,100501,3,33,
100633,Premonition,,7,1955,,P6535,100501,1,2,
100635,Relative Value,,7,1959,,R4314,100501,4,21,
100636,Revenge,,7,1955,,R152,100501,1,1,
100637,Reward to Finder,,7,1957,,R6315,100501,3,6,
100638,Road Hog,,7,1959,,R32,100501,5,11,
100639,Safe Conduct,,7,1956,,S1253,100501,1,21,
100640,Safety for the Witness,,7,1958,,S1316,100501,4,8,
100641,Salvage,,7,1955,,S412,100501,1,6,
100642,Santa Claus and the Tenth Avenue Kid,,7,1955,,S5324,100501,1,12,
100646,Shopping for Death,,7,1956,,S1521,100501,1,18,
100647,Silent Witness,,7,1957,,S4535,100501,3,5,
100648,"Six People, No Music",,7,1959,,S2145,100501,4,13,
100649,Special Delivery,,7,1959,,S1243,100501,5,10,
100650,Specialty of the House,,7,1959,,S1243,100501,5,12,
100654,Sylvia,,7,1958,,S41,100501,3,16,
100655,Tea Time,,7,1958,,T35,100501,4,10,
100657,"The $2,000,000 Defense",,7,1958,,D152,100501,4,5,
100658,The Avon Emeralds,,7,1959,,A1564,100501,4,24,
100659,The Baby Sitter,,7,1956,,B1236,100501,1,32,
100661,The Belfry,,7,1956,,B416,100501,1,33,
100662,The Better Bargain,,7,1956,,B3616,100501,2,11,
100665,The Big Switch,,7,1956,,B232,100501,1,15,
100666,The Blessington Method,,7,1959,,B4252,100501,5,8,
100667,The Canary Sedan,,7,1958,,C5623,100501,3,37,
100669,The Case of Mr. Pelham,,7,1955,,C2156,100501,1,10,
100671,The Cheney Vase,,7,1955,,C512,100501,1,13,
100674,The Cream of the Jest,,7,1957,,C6513,100501,2,24,
100675,The Creeper,,7,1956,,C616,100501,1,38,
100676,The Crocodile Case,,7,1958,,C6234,100501,3,34,
100677,The Crooked Road,,7,1958,,C6236,100501,4,4,
100678,The Crystal Trench,,7,1959,,C6234,100501,5,2,
100681,The Dangerous People,,7,1957,,D5262,100501,2,39,
100683,The Deadly,,7,1957,,D34,100501,3,11,
100684,The Derelicts,,7,1956,,D6423,100501,1,19,
100685,The Diamond Necklace,,7,1959,,D5352,100501,4,20,
100686,The Diplomatic Corpse,,7,1957,,D1453,100501,3,10,
100689,The Dusty Drawer,,7,1959,,D236,100501,4,33,
100690,The End of Indian Summer,,7,1957,,E5315,100501,2,22,
100691,The Equalizer,,7,1958,,E2426,100501,3,19,
100693,The Festive Season,,7,1958,,F2312,100501,3,31,
100695,The Foghorn,,7,1958,,F265,100501,3,24,
100696,The Gentleman from America,,7,1956,,G5345,100501,1,31,
100697,The Glass Eye,,7,1957,,G42,100501,3,1,
100700,The Hands of Mr. Ottermole,,7,1957,,H5321,100501,2,32,
100703,The Hidden Thing,,7,1956,,H3535,100501,1,34,
100706,The Impossible Dream,,7,1959,,I5121,100501,4,28,
100707,The Impromptu Murder,,7,1958,,I5165,100501,3,38,
100708,The Indestructible Mr. Weems,,7,1957,,I5323,100501,2,37,
100709,The Jokester,,7,1958,,J236,100501,4,3,
100711,The Kind Waitress,,7,1959,,K5362,100501,4,25,
100714,The Last Dark Step,,7,1959,,L2362,100501,4,18,
100717,The Legacy,,7,1956,,L2,100501,1,35,
100719,The Long Shot,,7,1955,,L523,100501,1,9,
100722,The Manacled,,7,1957,,M5243,100501,2,18,
100725,The Morning After,,7,1959,,M6521,100501,4,14,
100726,The Morning of the Bride,,7,1959,,M6521,100501,4,19,
100727,The Motive,,7,1958,,M31,100501,3,17,
100728,The Night the World Ended,,7,1957,,N2364,100501,2,31,
100730,The Older Sister,,7,1956,,O4362,100501,1,17,
100732,The Orderly World of Mr. Appleby,,7,1956,,O6364,100501,1,29,
100734,The Percentage,,7,1958,,P6253,100501,3,14,
100735,The Perfect Crime,,7,1957,,P6123,100501,3,3,
100736,The Perfect Murder,,7,1956,,P6123,100501,1,24,
100737,The Return of the Hero,,7,1958,,R3651,100501,3,22,
100738,The Right Kind of House,,7,1958,,R2325,100501,3,23,
100740,The Right Price,,7,1959,,R2316,100501,4,22,
100741,The Rose Garden,,7,1956,,R2635,100501,2,12,
100742,The Safe Place,,7,1958,,S142,100501,3,36,
100747,The Three Dreams of Mr. Findlater,,7,1957,,T6365,100501,2,30,
100750,The Waxwork,,7,1959,,W262,100501,4,27,
100751,The West Warlock Time Capsule,,7,1957,,W2364,100501,2,35,
100753,The Young One,,7,1957,,Y525,100501,3,9,
100754,There Was an Old Woman,,7,1956,,T6254,100501,1,25,
100755,Toby,,7,1956,,T1,100501,2,6,
100756,Together,,7,1958,,T236,100501,3,15,
100757,Total Loss,,7,1959,,T342,100501,4,17,
100758,Touch̩,,7,1959,,T2,100501,4,35,
100759,Triggers in Leash,,7,1955,,T6262,100501,1,3,
100760,Vicious Circle,,7,1957,,V2624,100501,2,29,
100762,Wet Saturday,,7,1956,,W3236,100501,2,1,
100765,Whodunit,,7,1956,,W353,100501,1,26,
100768,You Got to Have Luck,,7,1956,,Y2314,100501,1,16,
100769,Your Witness,,7,1959,,Y6352,100501,4,31,
103752,Alkali Ike,,2,1950,,A4242,,,,1950-????
104236,All Around the Town,,2,1951,,A4653,,,,1951-1952
129763,America Speaks,,2,1948,,A5621,,,,1948-????
180621,Appointment with Adventure,,2,1955,,A1535,,,,1955-1956
180622,A Sword Has Two Eagles,,7,1955,,S6323,180621,2,11,
180623,A Thief There Was,,7,1956,,T1362,180621,2,25,
180624,A Touch of Christmas,,7,1955,,T2126,180621,2,13,
180625,All Through the Night,,7,1956,,A4362,180621,2,19,
180626,Betrayal,,7,1956,,B364,180621,2,17,
180627,Career,,7,1956,,C6,180621,2,24,
180628,Caribbean Cruise,,7,1955,,C6152,180621,1,14,
180629,Crash Landing,,7,1955,,C6245,180621,1,15,
180630,Dangerous Mayhem,,7,1955,,D5262,180621,1,25,
180631,Dark Memory,,7,1955,,D6256,180621,2,5,
180632,Desperate Game,,7,1955,,D2163,180621,1,17,
180633,Destination Freedom,,7,1955,,D2353,180621,1,26,
180634,Escape,,7,1955,,E21,180621,2,10,
180635,Escape from Vienna,,7,1955,,E2165,180621,1,6,
180637,Five Star Crisis,,7,1955,,F1236,180621,1,21,
180636,Five in Judgment,,7,1955,,F1523,180621,1,2,
180638,Forbidden Holiday,,7,1955,,F6135,180621,1,8,
180639,High Stakes,,7,1956,,H232,180621,2,23,
180640,Honeymoon in Spain,,7,1955,,H5215,180621,1,13,
180641,Masquerade,,7,1955,,M263,180621,1,22,
180642,Minus Three Thousand,,7,1955,,M5236,180621,1,1,
180643,Mutiny,,7,1956,,M35,180621,2,14,
180644,Never to Know,,7,1955,,N1632,180621,1,19,
180645,Night Shadow,,7,1956,,N2323,180621,2,20,
180646,"Number Seven, Hangman's Row",,7,1955,,N5162,180621,2,2,
180647,Paris Venture,,7,1956,,P6215,180621,2,22,
180648,Pattern for Thieves,,7,1955,,P3651,180621,2,4,
180649,Perilous Journey,,7,1955,,P6426,180621,1,10,
180650,Priceless Cargo,,7,1955,,P6242,180621,1,7,
180651,Race the Comet,,7,1955,,R2325,180621,1,12,
180652,Relative Stranger,,7,1955,,R4312,180621,2,8,
180653,Rendezvous in Paris,,7,1955,,R5321,180621,1,5,
180654,Return of the Stranger,,7,1955,,R3651,180621,1,16,
180655,Stage Fright,,7,1955,,S3216,180621,2,7,
180656,State of Siege,,7,1955,,S312,180621,2,6,
180657,Stranger on a Plane,,7,1955,,S3652,180621,1,9,
180658,Suburban Terror,,7,1956,,S1615,180621,2,16,
180659,The Allentown Incident,,7,1955,,A4535,180621,2,1,
180660,The Battle of Hewitt Hill,,7,1956,,B3413,180621,2,18,
180661,The Big Mistake,,7,1955,,B2523,180621,2,12,
180662,The Fateful Pilgrimage,,7,1955,,F3141,180621,1,3,
180663,The Helping Hand,,7,1955,,H4152,180621,2,3,
180664,The House on Gellen Street,,7,1956,,H2524,180621,2,26,
180665,The Pirate's House,,7,1955,,P632,180621,1,23,
180666,The Quiet Gun,,7,1955,,Q325,180621,1,4,
180667,The Royal Treatment,,7,1955,,R4363,180621,1,20,
180668,The Secret of Juan Valdez,,7,1955,,S2631,180621,1,11,
180669,The Snow People,,7,1955,,S514,180621,1,18,
180670,The Top of the Mountain,,7,1956,,T1353,180621,2,15,
180671,Till the End of Time,,7,1956,,T4353,180621,2,21,
180672,Time Bomb,,7,1955,,T5151,180621,2,9,
180673,Two Falls for Satan,,7,1956,,T1421,180621,2,27,
180674,When in Rome,,7,1955,,W565,180621,1,24,
190323,Armstrong Circle Theatre,,2,1950,,A6523,,,,1950-1963
190337,35 Rue Du Marche,,7,1959,,R3562,190323,10,3,
190355,Accused of Murder,,7,1958,,A2315,190323,8,16,
190357,And Bring Home a Baby,,7,1959,,A5316,190323,9,6,
190360,Assignment: Junkies' Alley,,7,1957,,A2532,190323,8,3,
190382,Buried 2000 Years: The Dead Sea Scrolls,,7,1957,,B6362,190323,8,1,
190387,Case for Room 310,,7,1958,,C2165,190323,9,1,
190395,Crisis on Tangier Island,,7,1957,,C6253,190323,8,2,
190443,Have Jacket Will Travel,,7,1957,,H1234,190323,8,11,
190450,House of Cards,,7,1959,,H2126,190323,9,9,
190460,John Doe #154,,7,1957,,J53,190323,8,4,
190469,Kidnap Story: Hold for Release,,7,1958,,K3512,190323,8,22,
190489,Miracle at Spring Hill,,7,1959,,M6243,190323,9,8,
190493,Money for Sale,,7,1958,,M5162,190323,9,3,
190506,Operation Moonshine,,7,1959,,O1635,190323,10,5,
190507,Operation Moonshine,,7,1959,,O1635,190323,13,20,
190517,Prescription-Hypnosis,,7,1959,,P6261,190323,9,15,
190544,Security Risk,,7,1959,,S2636,190323,10,4,
190555,Sound of Violence,,7,1959,,S5314,190323,9,13,
190556,Sound of Violence,,7,1959,,S5314,190323,9,18,
190580,The Boy on Page One,,7,1959,,B5125,190323,10,6,
190617,The House of Flying Objects,,7,1958,,H2145,190323,9,2,
190620,The Innocent Killer,,7,1959,,I5253,190323,9,11,
190622,The Invisible Mark,,7,1958,,I5121,190323,9,5,
190623,The Jailbreak,,7,1959,,J4162,190323,10,2,
190636,The Man with a Thousand Names,,7,1959,,M5325,190323,9,7,
190639,The Meanest Crime in the World,,7,1958,,M5232,190323,8,13,
190645,The Monkey Ride,,7,1959,,M5263,190323,9,16,
190646,The Mummy Complex,,7,1958,,M5251,190323,8,8,
190648,The Nautilus,,7,1959,,N342,190323,9,21,
190649,The Nautilus,,7,1958,,N342,190323,9,4,
190650,The New Class,,7,1958,,N242,190323,8,10,
190674,The Shepherd of Paris,,7,1957,,S1631,190323,8,7,
190690,The Trusted Thief,,7,1958,,T6231,190323,8,14,
190699,The Zone of Silence,,7,1959,,Z5124,190323,10,1,
190700,The Zone of Silence,,7,1959,,Z5124,190323,9,17,
190701,Thief of Diamonds,,7,1957,,T1353,190323,8,6,
190702,Thirty Days to Reconsider,,7,1958,,T6323,190323,8,20,
190711,Trail of Diamonds,,7,1959,,T6413,190323,9,12,
190718,Twelve Cases of Murder,,7,1958,,T4121,190323,8,18,
190721,U.F.O: Enigma of the Skies,,7,1958,,U1525,190323,8,9,
190725,White Collar Bandit,,7,1959,,W3246,190323,9,10,
194352,Arthur Godfrey Time,,2,1952,,A6362,,,,1952-????
194339,Arthur Godfrey and His Friends,,2,1949,,A6362,,,,1949-1959
194340,(1953-01-28),,7,1953,,,194339,,,
194343,(1955-02-16),,7,1955,,,194339,,,
194344,(1955-04-20),,7,1955,,,194339,,,
194345,(1956-02-15),,7,1956,,,194339,,,
194346,(1956-03-07),,7,1956,,,194339,,,
194347,(1956-03-28),,7,1956,,,194339,,,
194350,Spring Holiday,,7,1956,,S1652,194339,,,
194351,Arthur Godfrey and His Ukulele,,2,1950,,A6362,,,,1950-????
197046,As the World Turns,,2,1956,,A2364,,,,1956-2010
197047,(#1.1),,7,1956,,,197046,1,1,
198844,(#3.3),,7,1958,,,197046,3,3,
198845,(#3.4),,7,1958,,,197046,3,4,
205039,Assignment Foreign Legion,,2,1956,,A2531,,,,1956-????
205040,A Matter of Honour,,7,1956,,M3615,205039,1,14,
205041,A Pony for Joe Crazy Horse,,7,1957,,P5162,205039,1,18,
205045,The Anaya,,7,1956,,A5,205039,1,12,
205049,The Debt,,7,1956,,D13,205039,1,15,
205052,The Ghost,,7,1956,,G23,205039,1,8,
205054,The Man Who Found Freedom,,7,1956,,M5153,205039,1,3,
205055,The Outcast,,7,1956,,O323,205039,1,10,
205057,The Search,,7,1956,,S62,205039,1,4,
205058,The Stool Pigeon,,7,1956,,S3412,205039,1,7,
205059,The Stripes of Sergeant Schweiger,,7,1956,,S3612,205039,1,1,
205061,The Testimonial of a Soldier,,7,1957,,T2354,205039,1,17,
205062,The Thin Line,,7,1956,,T545,205039,1,5,
205064,The White Kepi,,7,1957,,W321,205039,1,16,
230956,Bachelor Father,,2,1957,,B2461,,,,1957-1962
230958,A Date with Kelly,,7,1957,,D324,230956,1,4,
230964,A Phone for Kelly,,7,1959,,P5162,230956,2,12,
230965,A Sister for Kelly,,7,1958,,S2361,230956,1,14,
230967,Bentley & Peter's Teacher,,7,1958,,B5341,230956,2,5,
231003,Bentley Leads a Dog's Life,,7,1958,,B5343,230956,2,3,
231011,Bentley Versus the Girl Scouts,,7,1957,,B5341,230956,1,2,
230969,Bentley and His Junior Image,,7,1958,,B5345,230956,1,11,
230970,Bentley and the Baby Sitter,,7,1957,,B5345,230956,1,8,
230973,Bentley and the Beauty Contest,,7,1959,,B5345,230956,2,19,
230980,Bentley and the Finishing School,,7,1958,,B5345,230956,2,1,
230984,Bentley and the Kleptomaniac,,7,1959,,B5345,230956,2,11,
230987,Bentley and the Motorcycle,,7,1959,,B5345,230956,2,17,
230989,Bentley and the P.T.A.,,7,1957,,B5345,230956,1,1,
230990,Bentley and the Revolving Housekeepers,,7,1957,,B5345,230956,1,6,
230991,Bentley and the Social Worker,,7,1958,,B5345,230956,1,13,
230992,Bentley and the Talent Contest,,7,1958,,B5345,230956,1,9,
230993,Bentley and the Teenage Siren,,7,1958,,B5345,230956,2,4,
230996,Bentley and the Wedding Bells,,7,1958,,B5345,230956,2,6,
231010,Bentley the Proud Father,,7,1959,,B5343,230956,2,14,
231012,Bentley's Aunt Caroline,,7,1959,,B5342,230956,2,15,
231014,Bentley's Big Case,,7,1958,,B5342,230956,2,8,
231017,Bentley's Clubhouse,,7,1958,,B5342,230956,1,19,
231019,Bentley's Economy Wave,,7,1959,,B5342,230956,2,9,
231022,Bentley's Prospective Son-In-Law,,7,1958,,B5342,230956,1,18,
231023,"Bentley, Man of Steel",,7,1959,,B5345,230956,2,16,
231024,"Bentley, the Hero",,7,1959,,B5343,230956,2,20,
231025,"Bentley, the Homemaker",,7,1958,,B5343,230956,1,10,
231027,"Bentley, the Organizer",,7,1959,,B5343,230956,2,18,
231029,"Bentley, the Star Maker",,7,1959,,B5343,230956,2,13,
231037,"Decisions, Decisions",,7,1959,,D2523,230956,2,10,
231061,Kelly's Mad Crush,,7,1958,,K4253,230956,2,7,
231073,Parent's Night,,7,1958,,P6532,230956,2,2,
231074,Peter Falls in Love,,7,1958,,P3614,230956,1,17,
231107,Uncle Bentley Keeps His Promise,,7,1957,,U5241,230956,1,7,
231108,Uncle Bentley Loans Out Peter,,7,1958,,U5241,230956,1,12,
231104,Uncle Bentley and the Aunts,,7,1957,,U5241,230956,1,5,
231105,Uncle Bentley and the Lady Doctor,,7,1957,,U5241,230956,1,3,
231106,Uncle Bentley and the Matchmaker,,7,1958,,U5241,230956,1,20,
231109,Waiting Up for Kelly,,7,1958,,W3521,230956,1,15,
231113,Woman of the House,,7,1958,,W5132,230956,1,16,
232227,Backstage with Barry Wood,,2,1949,,B2323,,,,1949-????
239341,Balance Your Budget,,2,1952,,B4526,,,,1952-1953
247404,Bank on the Stars,,2,1953,,B5253,,,,1953-1954
247405,(#1.1),,7,1953,,,247404,1,1,
257015,Battle of the Ages,,2,1952,,B3413,,,,1952-????
266116,Beat the Clock,,2,1950,,B3242,,,,1950-1961
266123,(1952-09-27),,7,1952,,,266116,,,
266124,(1952-10-04),,7,1952,,,266116,,,
266125,(1952-10-11),,7,1952,,,266116,,,
266126,(1952-10-18),,7,1952,,,266116,,,
266127,(1952-10-25),,7,1952,,,266116,,,
